Year,Violent Crime Rate,US Percapita GDP,Pregnancy Rate,HIV prevalence,hate,die,love,hope,hate,Violent Crime Rate,hate,Violent Crime Rate,hate,Violent Crime Rate,attack,hate,hate5y,Hate5-2,hiv,murder,Internet,stupid,online,aahhh
1970,363.5,20495.85297,95.1,0,1,2.1666667,12.75,3.75,1,363.5,1,363.5,1,363.5,1.5,1,1.667,1.83,0,1.8333334,0,1.4166666,0,0.083333336
1971,396,20923.74366,95.1,0,0.5,2.1666667,12.75,3.75,0.5,396,0.5,396,0.5,396,1.5,0.5,1.667,1.98,0,1.8333334,0,1.4166666,0,0.083333336
1972,401,21806.03594,95.1,0,0,2.1666667,12.75,3.75,0,401,0,401,0,401,1.5,3.25,1.667,2.48,0,1.8333334,0,1.4166666,0,0.083333336
1973,417.4,22853.17141,96.1,0,3.25,2.1666667,12.75,3.75,3.25,417.4,3.25,417.4,3.25,417.4,1.5,2,1.667,2.03,0,1.8333334,0,1.4166666,0,0.083333336
1974,461.1,22528.17694,98.8,0,2,2.1666667,12.75,3.75,2,461.1,2,461.1,2,461.1,1.5,2.4,1.667,1.95,0,1.8333334,0,1.4166666,0,0.083333336
1975,487.8,22261.43424,101.1,0,2.4,3.5294118,11.235294,3.5294118,2.4,487.8,2.4,487.8,2.4,487.8,2.1176472,1.75,2,1.92,0,0.4117647,0,1,0,0
1976,467.8,23235.06147,101.1,0,1.75,3.5294118,11.235294,3.5294118,1.75,467.8,1.75,467.8,1.75,467.8,2.1176472,3,2,1.94142856,0,0.4117647,0,1,0,0
1977,475.9,24072.63213,104.6,0,3,3.5294118,11.235294,3.5294118,3,475.9,3,475.9,3,475.9,2.1176472,1,2,1.90142856,0,0.4117647,0,1,0,0
1978,497.8,25156.36866,105.4,0,1,3.5294118,11.235294,3.5294118,1,497.8,1,497.8,1,497.8,2.1176472,1.6,2,2.10142856,0,0.4117647,0,1,0,0
1979,548.9,25672.01176,109.4,0.031764078,1.6,3.5294118,11.235294,3.5294118,1.6,548.9,1.6,548.9,1.6,548.9,2.1176472,2.25,2,2.15642856,0,0.4117647,0,1,0,0
1980,596.6,25366.02267,111,0.04214617,2.25,4.034483,8.965517,3.5172415,2.25,596.6,2.25,596.6,2.25,596.6,1.6896552,1.8571428,2.1,2.23142856,0,0.62068963,0,1.2413793,0,0
1981,594.3,25755.07922,109.9,0.066122266,1.8571428,4.034483,8.965517,3.5172415,1.8571428,594.3,1.8571428,594.3,1.8571428,594.3,1.6896552,2.8,2.1,2.335,0,0.62068963,0,1.2413793,0,0
